USPS,GEOID,ANSICODE,NAME,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,ALBERS_X,ALBERS_Y
IA,19107,00465242,Keokuk County,10511,4931,1500067240,1929331,     579.179,       0.745,  309950.5065,-7867019
IA,19109,00465243,Kossuth County,15543,7486,2519332852,4154729,     972.720,       1.604,  136758.4276,-7661311
IA,19111,00465244,Lee County,35862,16205,1340366450,55293745,     517.518,      21.349,  370675.4450,-7941121
IA,19113,00465245,Linn County,211226,92251,1856710588,19748575,     716.880,       7.625,  353334.1194,-7781444
IA,19115,00465246,Louisa County,11387,5002,1040569636,40798459,     401.766,      15.752,  385938.2395,-7876335
IA,19117,00465247,Lucas County,8898,4238,1115231642,9852849,     430.593,       3.804,  214509.0218,-7903599
IA,19119,00465248,Lyon County,11581,4848,1522007130,334472,     587.650,       0.129,  -23870.2842,-7643372
IA,19121,00465249,Madison County,15679,6554,1452999410,2983842,     561.006,       1.152,  156983.2102,-7871620
IA,19123,00465250,Mahaska County,22381,9766,1478527687,6564800,     570.863,       2.535,  271157.3387,-7868495
IA,19125,00465251,Marion County,33309,13914,1436237259,41374638,     554.534,      15.975,  233277.9214,-7869635
IA,19127,00465252,Marshall County,40648,16831,1482770678,1803086,     572.501,       0.696,  240132.5704,-7789822
IA,19129,00465253,Mills County,15059,6109,1132956394,8306523,     437.437,       3.207,   24230.8757,-7906432
IA,19131,00465254,Mitchell County,10776,4850,1215049026,1118418,     469.133,       0.432,  251469.5845,-7643187
IA,19133,00465255,Monona County,9243,4697,1797638295,12591879,     694.072,       4.862,   -3786.7651,-7792654
IA,19135,00465256,Monroe County,7970,3884,1123316981,1522806,     433.715,       0.588,  252926.7457,-7902968
IA,19137,00465257,Montgomery County,10740,5239,1098405666,2410460,     424.097,       0.931,   62616.3518,-7907563
IA,19139,00465258,Muscatine County,42745,17910,1133040484,30198875,     437.469,      11.660,  395898.5072,-7846039
IA,19141,00465259,O'Brien County,14398,6649,1484154091,447448,     573.035,       0.173,   23000.5059,-7676887
IA,19143,00465260,Osceola County,6462,2990,1032587437,1835265,     398.684,       0.709,   22245.1929,-7643940
IA,19145,00465261,Page County,15932,7181,1385494422,1359125,     534.942,       0.525,   63995.0046,-7939247
IA,19147,00465262,Palo Alto County,9421,4628,1460349241,14480046,     563.844,       5.591,  100415.9202,-7677148
IA,19149,00465263,Plymouth County,24986,10550,2234881736,2177308,     862.893,       0.841,  -24799.0989,-7715594
IA,19151,00465264,Pocahontas County,7310,3794,1495047042,3666526,     577.241,       1.416,  100024.3131,-7715383
IA,19153,00465265,Polk County,430640,182262,1486121332,45945876,     573.795,      17.740,  192899.3184,-7831180
IA,19155,00465266,Pottawattamie County,93158,39330,2461213949,22925740,     950.280,       8.852,   30270.9338,-7872055
IA,19157,00465267,Poweshiek County,18914,8949,1514967877,2939136,     584.932,       1.135,  279139.8270,-7828553
IA,19159,00465268,Ringgold County,5131,2613,1386933932,8721518,     535.498,       3.367,  139181.0958,-7938706
IA,19161,00465269,Sac County,10350,5429,1489272900,8596902,     575.012,       3.319,   65693.6242,-7754526
IA,19163,00465270,Scott County,165224,71835,1186444226,26215864,     458.089,      10.122,  435888.5778,-7826199
IA,19165,00465271,Shelby County,12167,5542,1530110414,1486135,     590.779,       0.574,   49576.4311,-7833988
IA,19167,00465272,Sioux County,33704,12279,1989969635,1707495,     768.332,       0.659,  -21610.8565,-7676991
IA,19169,00465273,Story County,89542,36789,1483592867,2152172,     572.818,       0.831,  200420.1434,-7791410
IA,19171,00465274,Tama County,17767,7766,1867411117,2769451,     721.011,       1.069,  277047.1870,-7784881
IA,19173,00465275,Taylor County,6317,3107,1377618597,7133648,     531.902,       2.754,  101350.1180,-7938986
IA,19175,00465276,Union County,12534,5937,1097235730,5575916,     423.645,       2.153,  138534.8774,-7905834
IA,19177,00465277,Van Buren County,7570,3670,1255597645,14839903,     484.789,       5.730,  330420.5680,-7930940
IA,19179,00465278,Wapello County,35625,16098,1118443326,10846138,     431.833,       4.188,  291176.4204,-7901380
